trip_distance_id,trip_distance
0,1.98
1,6.54
2,3.08
3,2.4
4,5.14
5,2.0
6,3.2
7,2.01
8,0.31
9,2.32
10,2.69
11,3.73
12,5.06
13,2.93
14,1.26
15,4.09
16,1.66
17,1.55
18,1.78
19,0.26
20,1.49
21,3.9
22,0.92
23,1.5
24,2.63
25,3.1
26,0.72
27,0.77
28,1.08
29,2.2
30,2.1
31,3.5
32,7.07
33,0.56
34,3.13
35,0.0
36,8.51
37,0.01
38,5.72
39,3.96
40,2.41
41,5.4
42,1.84
43,1.86
44,4.98
45,0.89
46,1.88
47,4.03
48,0.57
49,2.83
50,1.52
51,2.7
52,5.76
53,2.19
54,5.04
55,1.17
56,1.0
57,0.02
58,7.38
59,3.69
60,4.15
61,5.5
62,2.6
63,4.39
64,1.11
65,2.8
66,0.78
67,4.13
68,0.59
69,6.18
70,2.04
71,1.14
72,0.83
73,3.7
74,6.9
75,5.2
76,7.4
77,2.45
78,0.8
79,0.95
80,1.99
81,4.85
82,1.19
83,1.82
84,2.68
85,15.03
86,0.5
87,0.71
88,0.75
89,1.37
90,1.16
91,2.65
92,4.06
93,0.66
94,2.28
95,2.31
96,2.43
97,3.45
98,1.9
99,2.49
100,1.57
101,3.3
102,6.73
103,2.81
104,3.16
105,2.94
106,7.62
107,3.68
108,2.66
109,7.21
110,5.96
111,4.2
112,6.63
113,4.01
114,0.7
115,1.85
116,1.56
117,1.3
118,4.25
119,0.17
120,1.27
121,7.51
122,2.58
123,1.89
124,1.09
125,3.06
126,8.75
127,2.77
128,2.9
129,4.79
130,1.38
131,3.05
132,6.74
133,4.27
134,1.1
135,0.42
136,1.54
137,0.9
138,3.58
139,0.23
140,2.29
141,1.58
142,1.22
143,5.64
144,1.2
145,6.1
146,7.78
147,5.03
148,3.47
149,7.5
150,0.06
151,0.08
152,6.81
153,5.7
154,4.8
155,4.74
156,1.39
157,5.43
158,2.39
159,1.4
160,1.95
161,2.5
162,4.0
163,1.29
164,1.45
165,12.8
166,1.94
167,1.47
168,0.45
169,6.27
170,0.09
171,2.64
172,6.53
173,3.38
174,5.82
175,0.73
176,7.79
177,1.03
178,1.7
179,0.67
180,1.72
181,1.36
182,11.81
183,17.2
184,2.13
185,0.1
186,1.83
187,2.07
188,0.4
189,2.46
190,3.0
191,6.04
192,0.6
193,5.61
194,2.86
195,2.84
196,1.51
197,0.87
198,3.8
199,0.12
200,5.25
201,5.8
202,2.25
203,14.31
204,3.74
205,0.48
206,2.57
207,4.02
208,2.11
209,4.63
210,1.63
211,3.82
212,6.07
213,1.6
214,2.37
215,3.4
216,4.26
217,0.93
218,7.98
219,1.12
220,4.4
221,9.05
222,6.7
223,0.36
224,3.85
225,17.44
226,0.22
227,5.31
228,1.74
229,0.11
230,0.03
231,5.19
232,6.24
233,7.74
234,0.16
235,0.05
236,2.72
237,3.67
238,6.99
239,1.65
240,5.05
241,5.48
242,4.08
243,3.09
244,6.3
245,4.18
246,11.77
247,0.84
248,8.17
249,0.38
250,6.48
251,4.14
252,4.77
253,0.35
254,4.5
255,1.05
256,10.15
257,1.64
258,1.8
259,5.16
260,1.18
261,10.9
262,3.57
263,3.29
264,10.41
265,8.61
266,2.48
267,1.76
268,1.21
269,5.29
270,1.48
271,8.4
272,0.54
273,1.97
274,2.56
275,1.68
276,21.0
277,3.04
278,2.38
279,2.59
280,0.43
281,11.71
282,7.95
283,2.85
284,0.76
285,2.91
286,1.69
287,2.95
288,5.27
289,9.69
290,10.83
291,2.35
292,0.81
293,3.01
294,11.79
295,2.76
296,3.19
297,1.91
298,2.53
299,3.28
300,17.51
301,3.21
302,5.63
303,2.36
304,2.33
305,2.71
306,0.88
307,1.28
308,2.27
309,1.35
310,15.24
311,1.59
312,1.81
313,2.47
314,10.91
315,1.31
316,6.64
317,1.42
318,0.99
319,5.37
320,4.42
321,6.5
322,2.03
323,2.16
324,10.66
325,3.27
326,2.02
327,2.78
328,0.37
329,4.76
330,15.53
331,3.81
332,0.69
333,3.34
334,8.81
335,8.39
336,3.77
337,5.68
338,9.64
339,1.15
340,2.3
341,5.01
342,17.65
343,1.67
344,8.45
345,3.53
346,1.07
347,5.74
348,3.18
349,3.32
350,7.36
351,10.88
352,2.52
353,6.67
354,4.66
355,3.97
356,3.43
357,0.46
358,4.1
359,1.53
360,20.53
361,1.92
362,2.09
363,0.61
364,2.55
365,3.17
366,1.73
367,6.42
368,17.87
369,2.34
370,0.51
371,1.06
372,1.34
373,2.26
374,17.82
375,4.6
376,0.41
377,3.86
378,1.33
379,3.76
380,7.54
381,1.44
382,13.56
383,5.58
384,1.61
385,2.24
386,3.75
387,2.73
388,0.82
389,20.51
390,3.95
391,12.69
392,4.92
393,3.66
394,1.71
395,0.85
396,3.54
397,3.23
398,3.88
399,8.6
400,2.18
401,13.94
402,3.62
403,5.59
404,2.89
405,2.22
406,1.77
407,13.71
408,13.07
409,12.4
410,3.07
411,0.68
412,0.44
413,0.98
414,3.89
415,1.46
416,6.4
417,1.96
418,17.86
419,4.05
420,1.93
421,2.05
422,6.29
423,13.79
424,3.61
425,16.64
426,2.44
427,0.21
428,4.86
429,10.06
430,5.39
431,2.54
432,0.91
433,2.08
434,8.0
435,2.15
436,2.67
437,10.01
438,7.77
439,6.58
440,4.47
441,0.74
442,7.0
443,3.03
444,2.92
445,8.25
446,9.79
447,1.02
448,2.88
449,20.1
450,7.57
451,8.2
452,9.42
453,2.17
454,3.26
455,3.55
456,2.96
457,3.94
458,5.17
459,3.02
460,2.23
461,18.21
462,2.61
463,5.94
464,2.42
